iter	Logloss
313	0.3993281434
314	0.3991539935
315	0.3988127664
316	0.398475486
317	0.3980648142
318	0.3977927931
319	0.3974077479
320	0.3972137519
321	0.3969190796
322	0.396526536
323	0.3963018746
324	0.395796632
325	0.3953782902
326	0.3950249134
327	0.3946890101
328	0.3942667357
329	0.393927621
330	0.3936450867
331	0.3934117179
332	0.3932351477
333	0.3928813975
334	0.3927028733
335	0.3923290898
336	0.391911329
337	0.3916178183
338	0.3913150578
339	0.3910765039
340	0.3907794721
341	0.3906090439
342	0.3902792379
343	0.3900314515
344	0.3896606035
345	0.3894550683
346	0.3891707025
347	0.3889538913
348	0.3886560202
349	0.3884018499
350	0.3880581553
351	0.3877663025
352	0.3874473327
353	0.3871870481
354	0.3869268423
355	0.3866007828
356	0.3863153637
357	0.3859441657
358	0.3856908893
359	0.3854607166
360	0.3853276628
361	0.3850187247
362	0.3846568445
363	0.3843093957
364	0.3840320168
365	0.3834225919
366	0.3831428637
367	0.3829353952
368	0.3826210162
369	0.382339459
370	0.381939717
371	0.3816877538
372	0.3813037556
373	0.3809974639
374	0.3805842968
375	0.3803187447
376	0.380087377
377	0.3798611999
378	0.3795431161
379	0.3793225435
380	0.3791084948
381	0.3788541855
382	0.3787027629
383	0.3783744389
384	0.3782318493
385	0.377814763
386	0.3776217839
387	0.3772260125
388	0.3768989576
389	0.3766435589
390	0.3763483258
391	0.3761183144
392	0.3758979193
393	0.3756676251
394	0.3754572529
395	0.37515503
396	0.3749685031
397	0.3746959316
398	0.3745543025
399	0.3741576429
