Results:
python3 model_dwell_time/tune_lgbm_unstable.py \
  --csv /home/ubuntu/cs297/ns-allinone-3.36/ns-3.36/Datasets/ho_train_45k_labeled.csv \
  --outdir /home/ubuntu/cs297/ns-allinone-3.36/ns-3.36/model_dwell_time/model_results/lgbm_45k_tuned \
  --test-size 0.2 \
  --random-state 42
trial=19/1728 pr_auc=0.198268 roc_auc=0.854969 f1@0.5=0.208630 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 200, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=17.7605
trial=20/1728 pr_auc=0.197086 roc_auc=0.854678 f1@0.5=0.181695 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 200, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=23.6807
trial=21/1728 pr_auc=0.197629 roc_auc=0.854898 f1@0.5=0.165480 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 200, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=29.6009
trial=22/1728 pr_auc=0.199051 roc_auc=0.855192 f1@0.5=0.203928 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 200, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=17.7605
trial=23/1728 pr_auc=0.196468 roc_auc=0.855428 f1@0.5=0.182755 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 200, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=23.6807
trial=24/1728 pr_auc=0.197768 roc_auc=0.853777 f1@0.5=0.163791 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 200, 'subsample': 1.0, 'colsample_bytree': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=29.6009
trial=25/1728 pr_auc=0.201211 roc_auc=0.862231 f1@0.5=0.214684 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=17.7605
trial=26/1728 pr_auc=0.199752 roc_auc=0.862782 f1@0.5=0.193178 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=23.6807
trial=27/1728 pr_auc=0.200714 roc_auc=0.861866 f1@0.5=0.174929 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 0.0} scale_pos_weight=29.6009
trial=28/1728 pr_auc=0.200691 roc_auc=0.862535 f1@0.5=0.214470 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=17.7605
trial=29/1728 pr_auc=0.201674 roc_auc=0.861317 f1@0.5=0.192951 params={'num_leaves': 15, 'max_depth': 3, 'min_child_samples': 10, 'learning_rate': 0.03, 'n_estimators': 400, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0} scale_pos_weight=23.6807
